date,LLY_sentiment_score,LLY_relevance_score
2023-01-01,0.1971752007700833,0.35009199999999996
2023-01-03,0.3133886458731807,0.617982
2023-01-04,0.0,0.340977
2023-01-05,0.422072,0.483434
2023-01-06,0.2767858510520265,0.36142149999999995
2023-01-07,0.305948,0.401331
2023-01-09,0.119928,0.148731
2023-01-10,0.11743441737848886,0.26428650000000004
2023-01-11,0.2794736151967283,0.34697599999999995
2023-01-12,0.19308116361859703,0.46699866666666673
2023-01-13,0.222416,0.349424
2023-01-14,0.026667,0.163539
2023-01-16,0.133218,0.175009
2023-01-17,0.38576170821079486,0.34683
2023-01-18,0.1547098659742917,0.3180036666666667
2023-01-19,0.010045,0.051386
2023-01-20,0.07847294850907664,0.19373900000000002
2023-01-23,0.15329748012889366,0.23042249999999997
2023-01-24,0.165769,0.634884
2023-01-25,0.142291,0.362858
2023-01-26,0.15044933856711326,0.43458074999999996
2023-01-27,0.09726911809113618,0.22103550000000002
2023-01-29,-0.04632137440563061,0.056642666666666674
2023-01-30,0.18767321809058948,0.22700199999999998
2023-02-01,0.037231176772433726,0.24171566666666666
2023-02-02,0.09311546158837605,0.433733
2023-02-03,0.09799792896723714,0.20410299999999995
2023-02-06,0.073705,0.128478
2023-02-07,0.106972,0.217834
2023-02-08,0.36608841089942995,0.328219
2023-02-09,0.122362,0.526867
2023-02-11,0.266349,0.298437
2023-02-13,0.195331,0.217639
2023-02-14,0.122046,0.30111
2023-02-16,0.11988323816903644,0.16368066666666664
2023-02-17,0.0,0.136888
2023-02-20,0.243173,0.383765
2023-02-21,0.156149,0.244846
2023-02-22,0.06084961798046284,0.3350025
2023-02-23,0.096154,0.203215
2023-02-24,-0.02427615027897809,0.155747
2023-02-27,0.382543,0.154951
2023-02-28,0.3754320079577496,0.425937
2023-03-01,-0.021808009357761286,0.134327
2023-03-02,0.18903712183394702,0.34690933333333335
2023-03-03,0.30579836738592203,0.46801875
2023-03-04,0.110257,0.06697
2023-03-06,0.10559001730199628,0.24555933333333332
2023-03-07,0.1609072843228681,0.33054675
2023-03-08,0.09949448696895208,0.4603045
2023-03-09,0.09759406485111852,0.36349719999999996
2023-03-10,-0.07103,0.136888
2023-03-13,0.16509907404634505,0.4768365
2023-03-14,-0.248821,0.427184
2023-03-15,0.08276150869822609,0.5430705
2023-03-16,0.1659329421449101,0.4772383333333334
2023-03-17,-0.049168,0.472338
2023-03-21,0.1884469426271527,0.54474375
2023-03-22,0.427871,0.682689
2023-03-23,0.2784503139141585,0.330656
2023-03-27,0.06041938565907092,0.3659735
2023-03-28,0.20459146765231762,0.4835045
2023-03-29,0.13146182289933303,0.411651
2023-03-30,0.22265142550433933,0.17399
2023-03-31,0.05095756510869516,0.075333
2023-04-04,0.2673701163402188,0.35534
2023-04-05,0.18872297839247446,0.20438866666666666
2023-04-06,0.18882955560550546,0.4485976666666667
2023-04-07,0.16011891230973846,0.33835
2023-04-10,-0.023724,0.772194
2023-04-11,0.10193952094350449,0.4728753333333333
2023-04-13,0.16670240124776692,0.3965885
2023-04-14,0.08505754173559668,0.23888959999999998
2023-04-17,0.23608732416120132,0.6607514999999999
2023-04-18,0.1492986844257721,0.45398933333333336
2023-04-19,0.19306221638235993,0.43222099999999997
2023-04-20,0.19023292446193393,0.29092616666666665
2023-04-21,0.16216131897048613,0.30144325
2023-04-22,0.129466,0.427184
2023-04-24,0.0840836074547489,0.2498005
2023-04-25,0.2287705095525271,0.18558439999999998
2023-04-26,0.26479649790762044,0.3620678333333333
2023-04-27,0.17593255665747815,0.47636606666666664
2023-04-28,0.27367056229635384,0.2500438181818182
2023-05-01,0.16496242503217143,0.5032936666666666
2023-05-02,0.24694451510236695,0.292868
2023-05-03,0.18299269636256885,0.227805
2023-05-04,0.22444502308076775,0.3301233333333334
2023-05-05,0.0810043812567164,0.33081449999999996
2023-05-06,0.3667259726719273,0.5557655
2023-05-07,0.230296,0.412523
2023-05-08,0.29192861187794633,0.35642525
2023-05-09,0.1721358331532397,0.24986999999999998
2023-05-10,0.24104807265271155,0.3070085
2023-05-11,0.19747,0.263942
2023-05-12,0.33064149775814716,0.299306
2023-05-13,0.26841735964058605,0.3375495
2023-05-15,0.119024,0.521961
2023-05-16,0.195362,0.173749
2023-05-17,-0.04109327758469498,0.4818025
2023-05-18,0.119289,0.529767
2023-05-19,0.252094265131465,0.502149
2023-05-22,0.10234399999999999,0.088799
2023-05-23,0.11341761373756469,0.534265
2023-05-24,0.07705509209566014,0.12400149999999999
2023-05-25,0.21070148099673763,0.1037585
2023-05-26,0.4235876755912969,0.550499
2023-05-28,0.116756,0.147366
2023-05-30,0.2007667527827338,0.33979624999999997
2023-05-31,0.167316,0.179407
2023-06-01,0.0,0.139265
2023-06-02,0.0,0.031529
2023-06-03,0.47879631665611355,0.470632
2023-06-05,0.060638,0.814929
2023-06-06,0.007965,0.779232
2023-06-08,0.176157,0.110209
2023-06-09,0.27336622262179994,0.3254825
2023-06-10,0.043007,0.058788
2023-06-12,0.263617,0.37552
2023-06-13,0.3965044011593777,0.597907
2023-06-15,0.2336056449475842,0.42985625000000005
2023-06-16,0.05352606572436788,0.15430349999999998
2023-06-19,0.336892,0.629492
2023-06-20,0.25194810584481053,0.38309625
2023-06-21,0.29841237809063437,0.472705
