date,date,value
1970-01-01 00:00:00.000000114,2014-12-01,234.812
1970-01-01 00:00:00.000000115,2014-11-01,236.151
1970-01-01 00:00:00.000000116,2014-10-01,237.433
1970-01-01 00:00:00.000000117,2014-09-01,238.031
1970-01-01 00:00:00.000000118,2014-08-01,237.852
1970-01-01 00:00:00.000000119,2014-07-01,238.250
1970-01-01 00:00:00.000000120,2014-06-01,238.343
1970-01-01 00:00:00.000000121,2014-05-01,237.900
1970-01-01 00:00:00.000000122,2014-04-01,237.072
1970-01-01 00:00:00.000000123,2014-03-01,236.293
1970-01-01 00:00:00.000000124,2014-02-01,234.781
1970-01-01 00:00:00.000000125,2014-01-01,233.916
1970-01-01 00:00:00.000000126,2013-12-01,233.049
1970-01-01 00:00:00.000000127,2013-11-01,233.069
1970-01-01 00:00:00.000000128,2013-10-01,233.546
1970-01-01 00:00:00.000000129,2013-09-01,234.149
1970-01-01 00:00:00.000000130,2013-08-01,233.877
1970-01-01 00:00:00.000000131,2013-07-01,233.596
1970-01-01 00:00:00.000000132,2013-06-01,233.504
1970-01-01 00:00:00.000000133,2013-05-01,232.945
1970-01-01 00:00:00.000000134,2013-04-01,232.531
1970-01-01 00:00:00.000000135,2013-03-01,232.773
1970-01-01 00:00:00.000000136,2013-02-01,232.166
1970-01-01 00:00:00.000000137,2013-01-01,230.280
1970-01-01 00:00:00.000000138,2012-12-01,229.601
1970-01-01 00:00:00.000000139,2012-11-01,230.221
1970-01-01 00:00:00.000000140,2012-10-01,231.317
1970-01-01 00:00:00.000000141,2012-09-01,231.407
1970-01-01 00:00:00.000000142,2012-08-01,230.379
1970-01-01 00:00:00.000000143,2012-07-01,229.104
1970-01-01 00:00:00.000000144,2012-06-01,229.478
1970-01-01 00:00:00.000000145,2012-05-01,229.815
1970-01-01 00:00:00.000000146,2012-04-01,230.085
1970-01-01 00:00:00.000000147,2012-03-01,229.392
1970-01-01 00:00:00.000000148,2012-02-01,227.663
1970-01-01 00:00:00.000000149,2012-01-01,226.665
1970-01-01 00:00:00.000000150,2011-12-01,225.672
1970-01-01 00:00:00.000000151,2011-11-01,226.230
1970-01-01 00:00:00.000000152,2011-10-01,226.421
1970-01-01 00:00:00.000000153,2011-09-01,226.889
1970-01-01 00:00:00.000000154,2011-08-01,226.545
1970-01-01 00:00:00.000000155,2011-07-01,225.922
1970-01-01 00:00:00.000000156,2011-06-01,225.722
1970-01-01 00:00:00.000000157,2011-05-01,225.964
1970-01-01 00:00:00.000000158,2011-04-01,224.906
1970-01-01 00:00:00.000000159,2011-03-01,223.467
1970-01-01 00:00:00.000000160,2011-02-01,221.309
1970-01-01 00:00:00.000000161,2011-01-01,220.223
1970-01-01 00:00:00.000000162,2010-12-01,219.179
1970-01-01 00:00:00.000000163,2010-11-01,218.803
1970-01-01 00:00:00.000000164,2010-10-01,218.711
1970-01-01 00:00:00.000000165,2010-09-01,218.439
1970-01-01 00:00:00.000000166,2010-08-01,218.312
1970-01-01 00:00:00.000000167,2010-07-01,218.011
1970-01-01 00:00:00.000000168,2010-06-01,217.965
1970-01-01 00:00:00.000000169,2010-05-01,218.178
1970-01-01 00:00:00.000000170,2010-04-01,218.009
1970-01-01 00:00:00.000000171,2010-03-01,217.631
1970-01-01 00:00:00.000000172,2010-02-01,216.741
1970-01-01 00:00:00.000000173,2010-01-01,216.687
1970-01-01 00:00:00.000000174,2009-12-01,215.949
1970-01-01 00:00:00.000000175,2009-11-01,216.330
1970-01-01 00:00:00.000000176,2009-10-01,216.177
1970-01-01 00:00:00.000000177,2009-09-01,215.969
1970-01-01 00:00:00.000000178,2009-08-01,215.834
1970-01-01 00:00:00.000000179,2009-07-01,215.351
1970-01-01 00:00:00.000000180,2009-06-01,215.693
1970-01-01 00:00:00.000000181,2009-05-01,213.856
1970-01-01 00:00:00.000000182,2009-04-01,213.240
1970-01-01 00:00:00.000000183,2009-03-01,212.709
1970-01-01 00:00:00.000000184,2009-02-01,212.193
1970-01-01 00:00:00.000000185,2009-01-01,211.143
1970-01-01 00:00:00.000000186,2008-12-01,210.228
1970-01-01 00:00:00.000000187,2008-11-01,212.425
1970-01-01 00:00:00.000000188,2008-10-01,216.573
1970-01-01 00:00:00.000000189,2008-09-01,218.783
1970-01-01 00:00:00.000000190,2008-08-01,219.086
1970-01-01 00:00:00.000000191,2008-07-01,219.964
1970-01-01 00:00:00.000000192,2008-06-01,218.815
1970-01-01 00:00:00.000000193,2008-05-01,216.632
1970-01-01 00:00:00.000000194,2008-04-01,214.823
1970-01-01 00:00:00.000000195,2008-03-01,213.528
1970-01-01 00:00:00.000000196,2008-02-01,211.693
1970-01-01 00:00:00.000000197,2008-01-01,211.080
