date,date,value
1970-01-01 00:00:00.000000114,2015-01-01,1.88
1970-01-01 00:00:00.000000115,2014-12-01,2.21
1970-01-01 00:00:00.000000116,2014-11-01,2.33
1970-01-01 00:00:00.000000117,2014-10-01,2.30
1970-01-01 00:00:00.000000118,2014-09-01,2.53
1970-01-01 00:00:00.000000119,2014-08-01,2.42
1970-01-01 00:00:00.000000120,2014-07-01,2.54
1970-01-01 00:00:00.000000121,2014-06-01,2.60
1970-01-01 00:00:00.000000122,2014-05-01,2.56
1970-01-01 00:00:00.000000123,2014-04-01,2.71
1970-01-01 00:00:00.000000124,2014-03-01,2.72
1970-01-01 00:00:00.000000125,2014-02-01,2.71
1970-01-01 00:00:00.000000126,2014-01-01,2.86
1970-01-01 00:00:00.000000127,2013-12-01,2.90
1970-01-01 00:00:00.000000128,2013-11-01,2.72
1970-01-01 00:00:00.000000129,2013-10-01,2.62
1970-01-01 00:00:00.000000130,2013-09-01,2.81
1970-01-01 00:00:00.000000131,2013-08-01,2.74
1970-01-01 00:00:00.000000132,2013-07-01,2.58
1970-01-01 00:00:00.000000133,2013-06-01,2.30
1970-01-01 00:00:00.000000134,2013-05-01,1.93
1970-01-01 00:00:00.000000135,2013-04-01,1.76
1970-01-01 00:00:00.000000136,2013-03-01,1.96
1970-01-01 00:00:00.000000137,2013-02-01,1.98
1970-01-01 00:00:00.000000138,2013-01-01,1.91
1970-01-01 00:00:00.000000139,2012-12-01,1.72
1970-01-01 00:00:00.000000140,2012-11-01,1.65
1970-01-01 00:00:00.000000141,2012-10-01,1.75
1970-01-01 00:00:00.000000142,2012-09-01,1.72
1970-01-01 00:00:00.000000143,2012-08-01,1.68
1970-01-01 00:00:00.000000144,2012-07-01,1.53
1970-01-01 00:00:00.000000145,2012-06-01,1.62
1970-01-01 00:00:00.000000146,2012-05-01,1.80
1970-01-01 00:00:00.000000147,2012-04-01,2.05
1970-01-01 00:00:00.000000148,2012-03-01,2.17
1970-01-01 00:00:00.000000149,2012-02-01,1.97
1970-01-01 00:00:00.000000150,2012-01-01,1.97
1970-01-01 00:00:00.000000151,2011-12-01,1.98
1970-01-01 00:00:00.000000152,2011-11-01,2.01
1970-01-01 00:00:00.000000153,2011-10-01,2.15
1970-01-01 00:00:00.000000154,2011-09-01,1.98
1970-01-01 00:00:00.000000155,2011-08-01,2.30
1970-01-01 00:00:00.000000156,2011-07-01,3.00
1970-01-01 00:00:00.000000157,2011-06-01,3.00
1970-01-01 00:00:00.000000158,2011-05-01,3.17
1970-01-01 00:00:00.000000159,2011-04-01,3.46
1970-01-01 00:00:00.000000160,2011-03-01,3.41
1970-01-01 00:00:00.000000161,2011-02-01,3.58
1970-01-01 00:00:00.000000162,2011-01-01,3.39
1970-01-01 00:00:00.000000163,2010-12-01,3.29
1970-01-01 00:00:00.000000164,2010-11-01,2.76
1970-01-01 00:00:00.000000165,2010-10-01,2.54
1970-01-01 00:00:00.000000166,2010-09-01,2.65
1970-01-01 00:00:00.000000167,2010-08-01,2.70
1970-01-01 00:00:00.000000168,2010-07-01,3.01
1970-01-01 00:00:00.000000169,2010-06-01,3.20
1970-01-01 00:00:00.000000170,2010-05-01,3.42
1970-01-01 00:00:00.000000171,2010-04-01,3.85
1970-01-01 00:00:00.000000172,2010-03-01,3.73
1970-01-01 00:00:00.000000173,2010-02-01,3.69
1970-01-01 00:00:00.000000174,2010-01-01,3.73
1970-01-01 00:00:00.000000175,2009-12-01,3.59
1970-01-01 00:00:00.000000176,2009-11-01,3.40
1970-01-01 00:00:00.000000177,2009-10-01,3.39
1970-01-01 00:00:00.000000178,2009-09-01,3.40
1970-01-01 00:00:00.000000179,2009-08-01,3.59
1970-01-01 00:00:00.000000180,2009-07-01,3.56
1970-01-01 00:00:00.000000181,2009-06-01,3.72
1970-01-01 00:00:00.000000182,2009-05-01,3.29
1970-01-01 00:00:00.000000183,2009-04-01,2.93
1970-01-01 00:00:00.000000184,2009-03-01,2.82
1970-01-01 00:00:00.000000185,2009-02-01,2.87
1970-01-01 00:00:00.000000186,2009-01-01,2.52
1970-01-01 00:00:00.000000187,2008-12-01,2.42
1970-01-01 00:00:00.000000188,2008-11-01,3.53
1970-01-01 00:00:00.000000189,2008-10-01,3.81
1970-01-01 00:00:00.000000190,2008-09-01,3.69
1970-01-01 00:00:00.000000191,2008-08-01,3.89
1970-01-01 00:00:00.000000192,2008-07-01,4.01
