date,date,value
1970-01-01 00:00:00.000000096,2000-04-01,50109.0
1970-01-01 00:00:00.000000097,2000-01-01,49335.0
1970-01-01 00:00:00.000000098,1999-10-01,49281.0
1970-01-01 00:00:00.000000099,1999-07-01,48632.0
1970-01-01 00:00:00.000000100,1999-04-01,48148.0
1970-01-01 00:00:00.000000101,1999-01-01,47880.0
1970-01-01 00:00:00.000000102,1998-10-01,47555.0
1970-01-01 00:00:00.000000103,1998-07-01,46943.0
1970-01-01 00:00:00.000000104,1998-04-01,46504.0
1970-01-01 00:00:00.000000105,1998-01-01,46204.0
1970-01-01 00:00:00.000000106,1997-10-01,45862.0
1970-01-01 00:00:00.000000107,1997-07-01,45616.0
1970-01-01 00:00:00.000000108,1997-04-01,45203.0
1970-01-01 00:00:00.000000109,1997-01-01,44590.0
1970-01-01 00:00:00.000000110,1996-10-01,44421.0
1970-01-01 00:00:00.000000111,1996-07-01,44105.0
1970-01-01 00:00:00.000000112,1996-04-01,43856.0
1970-01-01 00:00:00.000000113,1996-01-01,43259.0
1970-01-01 00:00:00.000000114,1995-10-01,43044.0
1970-01-01 00:00:00.000000115,1995-07-01,42885.0
1970-01-01 00:00:00.000000116,1995-04-01,42660.0
1970-01-01 00:00:00.000000117,1995-01-01,42654.0
1970-01-01 00:00:00.000000118,1994-10-01,42618.0
1970-01-01 00:00:00.000000119,1994-07-01,42264.0
1970-01-01 00:00:00.000000120,1994-04-01,42154.0
1970-01-01 00:00:00.000000121,1994-01-01,41713.0
1970-01-01 00:00:00.000000122,1993-10-01,41423.0
1970-01-01 00:00:00.000000123,1993-07-01,40997.0
1970-01-01 00:00:00.000000124,1993-04-01,40942.0
1970-01-01 00:00:00.000000125,1993-01-01,40829.0
1970-01-01 00:00:00.000000126,1992-10-01,40881.0
1970-01-01 00:00:00.000000127,1992-07-01,40599.0
1970-01-01 00:00:00.000000128,1992-04-01,40350.0
1970-01-01 00:00:00.000000129,1992-01-01,40051.0
1970-01-01 00:00:00.000000130,1991-10-01,39694.0
1970-01-01 00:00:00.000000131,1991-07-01,39691.0
1970-01-01 00:00:00.000000132,1991-04-01,39632.0
1970-01-01 00:00:00.000000133,1991-01-01,39451.0
1970-01-01 00:00:00.000000134,1990-10-01,39759.0
1970-01-01 00:00:00.000000135,1990-07-01,40266.0
1970-01-01 00:00:00.000000136,1990-04-01,40382.0
1970-01-01 00:00:00.000000137,1990-01-01,40361.0
1970-01-01 00:00:00.000000138,1989-10-01,40015.0
1970-01-01 00:00:00.000000139,1989-07-01,40046.0
1970-01-01 00:00:00.000000140,1989-04-01,39861.0
1970-01-01 00:00:00.000000141,1989-01-01,39648.0
1970-01-01 00:00:00.000000142,1988-10-01,39328.0
1970-01-01 00:00:00.000000143,1988-07-01,38908.0
1970-01-01 00:00:00.000000144,1988-04-01,38782.0
1970-01-01 00:00:00.000000145,1988-01-01,38359.0
1970-01-01 00:00:00.000000146,1987-10-01,38238.0
1970-01-01 00:00:00.000000147,1987-07-01,37685.0
1970-01-01 00:00:00.000000148,1987-04-01,37454.0
1970-01-01 00:00:00.000000149,1987-01-01,37132.0
1970-01-01 00:00:00.000000150,1986-10-01,36931.0
1970-01-01 00:00:00.000000151,1986-07-01,36822.0
1970-01-01 00:00:00.000000152,1986-04-01,36563.0
1970-01-01 00:00:00.000000153,1986-01-01,36476.0
1970-01-01 00:00:00.000000154,1985-10-01,36210.0
1970-01-01 00:00:00.000000155,1985-07-01,36033.0
1970-01-01 00:00:00.000000156,1985-04-01,35582.0
1970-01-01 00:00:00.000000157,1985-01-01,35346.0
1970-01-01 00:00:00.000000158,1984-10-01,35072.0
1970-01-01 00:00:00.000000159,1984-07-01,34871.0
1970-01-01 00:00:00.000000160,1984-04-01,34622.0
1970-01-01 00:00:00.000000161,1984-01-01,34103.0
1970-01-01 00:00:00.000000162,1983-10-01,33513.0
1970-01-01 00:00:00.000000163,1983-07-01,32906.0
1970-01-01 00:00:00.000000164,1983-04-01,32340.0
