date,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-03-31,USD,43353000000,60911000000,28477000000,18505000000,27581000000,8119000000,7653000000,17625000000,619000000,-800000000,619000000,800000000,61711000000,-486000000,None,1853000000,26727000000,4788000000,800000000,21939000000,21453000000,27527000000,29380000000,21939000000,484275000000,147180000000,19634000000,80021000000,1304000000,44029000000,341895000000,121375000000,74945000000,147991000000,28828000000,119163000000,69791000000,14807000000,60387000000,21826000000,35551000000,231123000000,118525000000,18087000000,89666000000,22749000000,20500000000,112598000000,14469000000,44907000000,2249000000,42658000000,65407000000,18023000000,23271000000,253152000000,None,159394000000,99193000000,7433000000,31917000000,1026000000,None,5476000000,2954000000,1853000000,10952000000,2028000000,-260000000,21939000000,-10700000000,-18808000000,-3810000000,4213000000,4213000000,None,5572000000,5572000000,None,522000000,None,None,-3691000000,None,None,None,2024-04-25,2.94,2.82,0.12,4.2553,post-market
2023-12-31,USD,42397000000,60849000000,29554000000,19623000000,27032000000,8223000000,7142000000,17073000000,734000000,-909000000,734000000,909000000,61758000000,-169000000,None,1708000000,26526000000,4656000000,909000000,21870000000,23858000000,27435000000,29143000000,21870000000,470558000000,147393000000,17305000000,81017000000,1615000000,42831000000,327965000000,112308000000,72949000000,148827000000,29896000000,118931000000,71482000000,13367000000,63712000000,21930000000,32265000000,232290000000,121016000000,17695000000,92068000000,29291000000,27041000000,111274000000,14155000000,47178000000,2250000000,44928000000,74219000000,16362000000,20787000000,238268000000,None,145737000000,97480000000,7432000000,18853000000,971000000,None,-8121000000,2179000000,1708000000,9735000000,2951000000,-1474000000,21870000000,-71925000000,-10147000000,-8490000000,4000000000,4000000000,None,5574000000,5574000000,None,261000000,None,None,-3739000000,None,None,None,2024-01-30,2.93,2.78,0.15,5.3957,post-market
2023-09-30,USD,40215000000,56029000000,23979000000,16302000000,26895000000,6661000000,6659000000,14336000000,1166000000,-525000000,1166000000,525000000,56554000000,-137000000,None,1016000000,27284000000,4993000000,525000000,22291000000,21697000000,27809000000,28825000000,22291000000,445785000000,207586000000,80452000000,143951000000,3000000000,36953000000,242699000000,102502000000,69486000000,76685000000,8895000000,67790000000,68750000000,11423000000,63499000000,23682000000,32154000000,225071000000,124792000000,19307000000,98376000000,29556000000,25808000000,100279000000,13487000000,45694000000,3748000000,41946000000,71502000000,14475000000,18634000000,220714000000,None,132143000000,95508000000,7431000000,30583000000,944000000,None,-5302000000,-7720000000,1016000000,9917000000,-11034000000,505000000,22291000000,503000000,14761000000,18692000000,4831000000,4831000000,None,5051000000,5051000000,None,685000000,None,None,-4146000000,None,None,None,2023-10-24,2.99,2.65,0.34,12.8302,post-market
2023-06-30,USD,39394000000,55659000000,26154000000,16795000000,24254000000,8401000000,6739000000,16098000000,905000000,-482000000,905000000,482000000,56141000000,-61000000,None,958000000,24727000000,4646000000,482000000,20081000000,19382000000,25209000000,26167000000,20081000000,411976000000,184257000000,34704000000,111262000000,2500000000,48688000000,232219000000,95641000000,68251000000,77252000000,9366000000,67886000000,95599000000,9879000000,76558000000,21807000000,30601000000,205753000000,104149000000,18095000000,107626000000,5247000000,0,101604000000,12728000000,47237000000,5247000000,41990000000,47237000000,14745000000,17981000000,206223000000,None,118848000000,93718000000,7432000000,28770000000,854000000,None,19080000000,14837000000,11958000000,8943000000,11244000000,-374000000,20081000000,-9134000000,-11413000000,0,5704000000,5704000000,None,5054000000,5054000000,None,512000000,None,None,-5192000000,None,None,None,2023-07-25,2.69,2.55,0.14,5.4902,post-market
2023-03-31,USD,36729000000,52405000000,24481000000,16128000000,22352000000,7393000000,6984000000,15337000000,748000000,-496000000,748000000,496000000,52901000000,-93000000,None,960000000,22673000000,4374000000,496000000,18299000000,19112000000,23169000000,24129000000,18299000000,380088000000,163889000000,26562000000,104427000000,2877000000,38137000000,220499000000,88132000000,65998000000,77819000000,9879000000,67940000000,95186000000,9415000000,77865000000,19165000000,26954000000,185405000000,85691000000,15305000000,79202000000,6245000000,6245000000,99714000000,12312000000,48210000000,6245000000,41965000000,48210000000,12664000000,17437000000,194683000000,None,108234000000,92093000000,7437000000,24441000000,822000000,None,2547000000,704000000,960000000,6607000000,1408000000,-106000000,18299000000,-3264000000,-10290000000,0,5509000000,5509000000,None,5059000000,5059000000,None,536000000,None,None,-4973000000,None,10887000000,None,2023-04-25,2.45,2.23,0.22,9.8655,post-market
2022-12-31,USD,35259000000,52032000000,27393000000,17488000000,20399000000,8016000000,6844000000,16749000000,700000000,-490000000,700000000,490000000,52522000000,-38000000,None,1089000000,20339000000,3914000000,490000000,16425000000,17311000000,20829000000,21918000000,16425000000,364552000000,157823000000,15646000000,99508000000,2980000000,36378000000,210929000000,82755000000,63459000000,78259000000,10354000000,67905000000,91155000000,7097000000,83862000000,19502000000,24994000000,181416000000,81718000000,15354000000,79252000000,3997000000,3997000000,99698000000,11998000000,48116000000,3997000000,44119000000,48116000000,12802000000,16479000000,183136000000,None,99368000000,90225000000,7447000000,11173000000,764000000,None,-8031000000,2316000000,1089000000,6274000000,3164000000,-1305000000,16425000000,-7150000000,-11349000000,0,5459000000,5459000000,None,5066000000,5066000000,None,243000000,None,None,-5216000000,None,-7326000000,None,2023-01-24,2.32,2.29,0.03,1.31,post-market
2022-09-30,USD,34670000000,49636000000,22798000000,15452000000,21518000000,6524000000,6628000000,13974000000,641000000,-500000000,641000000,500000000,50136000000,-31000000,None,822000000,21572000000,4016000000,500000000,17556000000,14891000000,22072000000,22894000000,17556000000,359784000000,160812000000,22884000000,107262000000,4268000000,32015000000,202772000000,77037000000,60638000000,78267000000,10808000000,67459000000,99146000000,6839000000,84378000000,18003000000,23482000000,186218000000,87389000000,16609000000,87778000000,3248000000,3248000000,98829000000,11660000000,48622000000,3248000000,45374000000,48622000000,12058000000,15311000000,173566000000,None,92374000000,88535000000,7457000000,23198000000,767000000,None,-8315000000,-10188000000,822000000,6283000000,-11729000000,543000000,17556000000,-3132000000,-10883000000,0,5573000000,5573000000,None,4621000000,4621000000,None,575000000,None,None,-4998000000,None,9183000000,None,2022-10-25,2.35,2.3,0.05,2.1739,post-market
2022-06-30,USD,35436000000,51406000000,25283000000,16429000000,20534000000,8053000000,6849000000,15703000000,552000000,-496000000,552000000,496000000,51902000000,-23000000,None,801000000,20487000000,3747000000,496000000,16740000000,14538000000,20983000000,21784000000,16740000000,364840000000,169684000000,13931000000,104757000000,3742000000,45261000000,198956000000,74398000000,59660000000,78822000000,11298000000,67524000000,95583000000,6891000000,90826000000,16924000000,21897000000,198298000000,95082000000,19000000000,96816000000,2749000000,2749000000,103216000000,11489000000,49781000000,2749000000,47032000000,49781000000,13067000000,15526000000,166542000000,None,84281000000,86939000000,7464000000,24629000000,744000000,None,17713000000,16240000000,13401000000,6871000000,12634000000,461000000,16740000000,-9729000000,-13269000000,0,8757000000,8757000000,None,4632000000,4632000000,None,461000000,None,None,-8296000000,None,1574000000,None,2022-07-26,2.23,2.29,-0.06,-2.6201,post-market
2022-03-31,USD,33745000000,48732000000,23481000000,15615000000,20364000000,7075000000,6306000000,14172000000,519000000,-503000000,519000000,503000000,49235000000,-11000000,None,791000000,20190000000,3462000000,503000000,16728000000,13815000000,20693000000,21484000000,16728000000,344607000000,153922000000,12498000000,104693000000,3296000000,33613000000,194285000000,70298000000,58053000000,78719000000,11348000000,67371000000,96125000000,6907000000,92195000000,13320000000,21845000000,181683000000,77439000000,16085000000,73592000000,1749000000,1749000000,104244000000,11357000000,49926000000,1749000000,48177000000,49926000000,11865000000,15154000000,162924000000,None,79633000000,85767000000,7483000000,25386000000,835000000,None,3127000000,55000000,791000000,5340000000,-857000000,279000000,16728000000,-16171000000,-17345000000,0,8822000000,8822000000,None,4645000000,4645000000,None,477000000,None,None,-8345000000,None,-8106000000,24000000,2022-04-26,2.22,2.19,0.03,1.3699,post-market
2021-12-31,USD,34768000000,51228000000,24433000000,16960000000,22247000000,6763000000,5758000000,13231000000,503000000,-525000000,503000000,525000000,51753000000,-4000000,None,710000000,22515000000,3750000000,525000000,18765000000,17919000000,23040000000,23750000000,18765000000,340389000000,174188000000,20604000000,125369000000,3019000000,34507000000,169701000000,67214000000,55277000000,58383000000,7462000000,50921000000,118260000000,6994000000,104765000000,12280000000,21256000000,180379000000,77510000000,15314000000,73538000000,4998000000,4998000000,102869000000,10774000000,53258000000,4998000000,48260000000,53258000000,11684000000,14747000000,160010000000,None,75045000000,84528000000,7500000000,14480000000,548000000,None,-4327000000,5227000000,710000000,5865000000,5543000000,-394000000,18765000000,-1161000000,-11986000000,0,7433000000,7433000000,None,4652000000,4652000000,None,291000000,None,None,-7142000000,None,1439000000,106000000,2022-01-25,2.48,2.31,0.17,7.3593,post-market
