date,sentiment_score,relevance_score
2024-06-28,0.2521439141211779,0.3749411
2024-06-29,0.2804257414038736,0.41711375
2024-06-30,0.3811805955285067,0.2964185
2024-07-01,0.19559410405655595,0.21855362499999997
2024-07-02,0.2813647492750574,0.2823752941176471
2024-07-03,0.1255602998736136,0.25481594736842106
2024-07-04,0.13915879999736253,0.2550639090909091
2024-07-05,0.24788244083931618,0.24476046428571432
2024-07-06,0.33500753268875216,0.4399066666666666
2024-07-07,0.19879453977836772,0.309251
2024-07-08,0.18937110968646756,0.20963008333333333
2024-07-09,0.2911881909490045,0.3296732857142857
2024-07-10,0.28507326313536213,0.2633884285714285
2024-07-11,0.24062259433766645,0.31165374999999995
2024-07-12,0.2960296753109387,0.34779774999999996
2024-07-13,0.15331264510631745,0.496579
2024-07-14,0.18721372315412477,0.3368199
2024-07-15,0.28522071330920423,0.2759923913043479
2024-07-16,0.17775310235927647,0.30150133333333334
2024-07-17,0.1717139507523108,0.38643437500000005
2024-07-18,0.28761380732241354,0.31031055555555553
2024-07-19,0.2796027600060167,0.31445829999999997
2024-07-20,0.36463246355513784,0.5825732
2024-07-21,-0.078915,0.109956
2024-07-22,0.2687885177357714,0.2916445833333334
2024-07-23,0.3309106120477175,0.3967670625
2024-07-24,0.2729979181574979,0.25881906666666665
2024-07-25,0.05807105984764101,0.29751659999999996
2024-07-26,0.2713034857072553,0.27928505555555555
2024-07-27,0.14437811964338446,0.19895374999999998
2024-07-28,0.2408417108622788,0.26766285714285715
2024-07-29,0.1979323069233331,0.28207815789473684
2024-07-30,0.14550643661987886,0.3449809333333334
2024-07-31,0.2605741695500821,0.38693147368421055
2024-08-01,0.25701494270208597,0.28560941176470583
2024-08-02,0.1717615809798601,0.2696116571428571
2024-08-03,-0.35497882753626353,0.32119099999999995
2024-08-04,0.2163765432117503,0.20237385714285713
2024-08-05,0.1750710229295763,0.2743342631578947
2024-08-06,0.15592016650391283,0.27788754545454536
2024-08-07,0.23236134021753294,0.23521771428571434
2024-08-08,0.22239655404885458,0.29134659999999996
2024-08-09,0.11025868244235265,0.2362771
2024-08-10,0.24667308179168065,0.2528761666666666
2024-08-11,0.1553722576201064,0.28790842857142857
2024-08-12,0.11462444522601244,0.18533493333333334
2024-08-13,0.33497553038499034,0.2792277777777778
2024-08-14,0.22976149698728712,0.2547722222222222
2024-08-15,0.32646052716099433,0.30339463636363634
2024-08-16,0.10787592053501396,0.25020375
2024-08-17,0.09733773815790321,0.39948885714285715
2024-08-18,0.252953585110583,0.4394665
2024-08-19,0.1227347556791972,0.19089535294117646
2024-08-20,0.2512710394583273,0.23011257142857142
2024-08-21,0.1980587068591864,0.27347266666666664
