date,sentiment_score,relevance_score
2024-08-07,0.1947639064331161,0.11435781249999999
2024-08-08,0.05934112079650584,0.076973
2024-08-09,0.12418557895726905,0.09438597959183674
2024-08-10,0.01971889295086826,0.09567135714285714
2024-08-11,0.11851967920163817,0.09493440000000002
2024-08-12,0.18544381355219075,0.11378541666666665
2024-08-13,0.22959704546171486,0.11256620754716982
2024-08-14,0.12005419717309203,0.10823327586206896
2024-08-15,0.005265842128556267,0.10589687999999998
2024-08-16,0.14499640552232773,0.1606675909090909
2024-08-17,0.011257862693123627,0.07557766666666667
2024-08-18,0.022614308113558815,0.06892243749999999
2024-08-19,0.1105028520020469,0.09005171428571429
2024-08-20,0.11276840296626285,0.08166162686567165
2024-08-21,0.07068900708912158,0.07994850980392157
2024-08-22,0.0,0.06697
