date,open,high,low,close,volume,ma_5,std_5,vwap_5,vwstd_5,bbu_5,bbl_5,vwbbu_5,vwbbl_5,ma_11,std_11,vwap_11,vwstd_11,bbu_11,bbl_11,vwbbu_11,vwbbl_11,ma_21,std_21,vwap_21,vwstd_21,bbu_21,bbl_21,vwbbu_21,vwbbl_21,ma_63,std_63,vwap_63,vwstd_63,bbu_63,bbl_63,vwbbu_63,vwbbl_63,ma_125,std_125,vwap_125,vwstd_125,bbu_125,bbl_125,vwbbu_125,vwbbl_125,ma_251,std_251,vwap_251,vwstd_251,bbu_251,bbl_251,vwbbu_251,vwbbl_251
2014-01-02,398.8,399.36,394.02,397.97,2137800.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,
2014-01-03,398.29,402.71,396.22,396.44,2210200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,395.85,397.0,388.42,393.63,3170600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,395.04,398.47,394.29,398.03,1916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,398.47,403.0,396.04,401.92,2316500.0,397.598,3.003775957024759,,,403.60555191404956,391.59044808595047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,403.71,406.89,398.44,401.01,2103000.0,398.206,3.3817791175651877,,,404.9695582351304,391.4424417648696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,402.53,403.764,393.8,397.66,2679500.0,398.45,3.264483113756289,,,404.97896622751256,391.9210337724874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,397.98,399.78,388.45,390.98,2844900.0,397.92,4.29509604083541,,,406.5101920816708,389.3298079183292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,392.13,398.63,391.29,397.54,2340100.0,397.822,4.297548138182983,408.1689606816747,3.979878189584533,406.41709627636595,389.22690372363405,416.12871706084377,400.20920430250567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,398.94,399.31,392.534,395.87,2678300.0,396.61199999999997,3.659640692745692,412.7810254655446,3.3242119886961867,403.93128138549133,389.2927186145086,419.42944944293697,406.1326014881522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,393.68,399.29,389.41,395.8,2601200.0,395.57000000000005,2.713853349022456,419.13121882913055,2.5253495953073117,400.99770669804496,390.14229330195514,424.1819180197452,414.0805196385159,396.98636363636365,3.060085857381359,,,403.10653535112635,390.86619192160094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,394.26,403.49,393.66,399.61,4505100.0,395.96,3.187985257180515,451.95208638661006,3.0219413765876033,402.335970514361,389.58402948563895,457.99596913978525,445.9082036334349,397.13545454545454,3.15139132332486,,,403.4382371921043,390.8326718988048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
